0.58,0.73,0.89,0.95,0.53,0.61,0.92,0.57,0.82,0.62,0.63,0.8,0.14,0.71,0.35,0.3,0.53,0.99,0.06,0.49,0.62,0.26,0.65,0.96,0.99,0
0.57,0.8,0.92,0.95,0.41,0.87,0.79,0.26,0.77,0.48,0.71,0.74,0.01,0.81,0.3,0.48,0.46,0.96,0.16,0.58,0.6,0.53,0.75,0.82,0.9,0
0.54,0.81,0.88,0.99,0.44,0.66,0.95,0.78,0.92,0.71,0.79,0.64,0.01,0.63,0.69,0.21,0.5,0.97,0.01,0.59,0.63,0.75,0.77,0.82,0.91,0
0.49,0.87,0.86,0.9,0.65,0.71,0.88,0.36,0.71,0.53,0.65,0.81,0.05,0.73,0.53,0.72,0.62,0.97,0.01,0.62,0.6,0.61,0.69,0.99,0.92,0
0.81,0.76,0.86,0.82,0.53,0.99,0.96,0.69,0.54,0.69,0.67,0.58,0.01,0.7,0.84,0.29,0.44,0.99,0.01,0.45,0.56,0.29,0.72,0.74,0.99,0
0.6,0.99,0.92,0.99,0.38,0.78,0.92,0.83,0.63,0.73,0.68,0.85,0.14,0.71,0.4,0.25,0.53,0.94,0.31,0.42,0.59,0.25,0.64,0.93,0.99,0
0.79,0.74,0.82,0.93,0.62,0.86,0.85,0.75,0.86,0.69,0.77,0.73,0.09,0.98,0.55,0.44,0.51,0.99,0.07,0.57,0.71,0.38,0.47,0.94,0.97,0
0.52,0.86,0.94,0.83,0.62,0.77,0.8,0.66,0.84,0.5,0.67,0.71,0.01,0.75,0.7,0.36,0.55,0.95,0.34,0.26,0.64,0.41,0.68,0.99,0.95,0
0.89,0.69,0.92,0.87,0.46,0.81,0.88,0.63,0.58,0.86,0.58,0.88,0.01,0.74,0.99,0.33,0.31,0.91,0.11,0.59,0.72,0.42,0.48,0.84,0.99,0
0.66,0.5,0.9,0.99,0.83,0.87,0.92,0.44,0.74,0.61,0.67,0.73,0.01,0.55,0.34,0.27,0.58,0.79,0.01,0.56,0.75,0.46,0.82,0.85,0.9,0
